size,sort_name,array_type,average_time
12100,Hybrid Merge+Insertion Sort,random,4
12200,Hybrid Merge+Insertion Sort,random,4
12300,Hybrid Merge+Insertion Sort,random,4
12400,Hybrid Merge+Insertion Sort,random,4
12500,Hybrid Merge+Insertion Sort,random,4
12600,Hybrid Merge+Insertion Sort,random,4
12700,Hybrid Merge+Insertion Sort,random,4
12800,Hybrid Merge+Insertion Sort,random,4
12900,Hybrid Merge+Insertion Sort,random,4
13000,Hybrid Merge+Insertion Sort,random,4
13100,Hybrid Merge+Insertion Sort,random,4
13200,Hybrid Merge+Insertion Sort,random,4
13300,Hybrid Merge+Insertion Sort,random,4
13400,Hybrid Merge+Insertion Sort,random,4
13500,Hybrid Merge+Insertion Sort,random,4
13600,Hybrid Merge+Insertion Sort,random,4
13700,Hybrid Merge+Insertion Sort,random,5
13800,Hybrid Merge+Insertion Sort,random,5
13900,Hybrid Merge+Insertion Sort,random,5
14000,Hybrid Merge+Insertion Sort,random,5
14100,Hybrid Merge+Insertion Sort,random,5
14200,Hybrid Merge+Insertion Sort,random,5
14300,Hybrid Merge+Insertion Sort,random,5
14400,Hybrid Merge+Insertion Sort,random,5
14500,Hybrid Merge+Insertion Sort,random,5
14600,Hybrid Merge+Insertion Sort,random,5
14700,Hybrid Merge+Insertion Sort,random,5
14800,Hybrid Merge+Insertion Sort,random,5
14900,Hybrid Merge+Insertion Sort,random,5
15000,Hybrid Merge+Insertion Sort,random,5
15100,Hybrid Merge+Insertion Sort,random,5
15200,Hybrid Merge+Insertion Sort,random,5
15300,Hybrid Merge+Insertion Sort,random,5
15400,Hybrid Merge+Insertion Sort,random,5
15500,Hybrid Merge+Insertion Sort,random,5
15600,Hybrid Merge+Insertion Sort,random,5
15700,Hybrid Merge+Insertion Sort,random,5
15800,Hybrid Merge+Insertion Sort,random,5
15900,Hybrid Merge+Insertion Sort,random,5
16000,Hybrid Merge+Insertion Sort,random,5
16100,Hybrid Merge+Insertion Sort,random,5
16200,Hybrid Merge+Insertion Sort,random,5
16300,Hybrid Merge+Insertion Sort,random,5
16400,Hybrid Merge+Insertion Sort,random,5
16500,Hybrid Merge+Insertion Sort,random,5
16600,Hybrid Merge+Insertion Sort,random,6
16700,Hybrid Merge+Insertion Sort,random,6
16800,Hybrid Merge+Insertion Sort,random,6
16900,Hybrid Merge+Insertion Sort,random,6
17000,Hybrid Merge+Insertion Sort,random,6
17100,Hybrid Merge+Insertion Sort,random,6
17200,Hybrid Merge+Insertion Sort,random,6
17300,Hybrid Merge+Insertion Sort,random,6
17400,Hybrid Merge+Insertion Sort,random,6
17500,Hybrid Merge+Insertion Sort,random,6
17600,Hybrid Merge+Insertion Sort,random,6
17700,Hybrid Merge+Insertion Sort,random,6
17800,Hybrid Merge+Insertion Sort,random,6
17900,Hybrid Merge+Insertion Sort,random,6
18000,Hybrid Merge+Insertion Sort,random,6
18100,Hybrid Merge+Insertion Sort,random,6
18200,Hybrid Merge+Insertion Sort,random,6
18300,Hybrid Merge+Insertion Sort,random,6
18400,Hybrid Merge+Insertion Sort,random,7
18500,Hybrid Merge+Insertion Sort,random,6
18600,Hybrid Merge+Insertion Sort,random,7
18700,Hybrid Merge+Insertion Sort,random,7
18800,Hybrid Merge+Insertion Sort,random,7
18900,Hybrid Merge+Insertion Sort,random,6
19000,Hybrid Merge+Insertion Sort,random,7
19100,Hybrid Merge+Insertion Sort,random,7
19200,Hybrid Merge+Insertion Sort,random,7
19300,Hybrid Merge+Insertion Sort,random,7
19400,Hybrid Merge+Insertion Sort,random,7
19500,Hybrid Merge+Insertion Sort,random,7
19600,Hybrid Merge+Insertion Sort,random,7
19700,Hybrid Merge+Insertion Sort,random,7
19800,Hybrid Merge+Insertion Sort,random,7
19900,Hybrid Merge+Insertion Sort,random,7
20000,Hybrid Merge+Insertion Sort,random,7
20100,Hybrid Merge+Insertion Sort,random,7
20200,Hybrid Merge+Insertion Sort,random,7
20300,Hybrid Merge+Insertion Sort,random,7
20400,Hybrid Merge+Insertion Sort,random,7
20500,Hybrid Merge+Insertion Sort,random,7
20600,Hybrid Merge+Insertion Sort,random,7
20700,Hybrid Merge+Insertion Sort,random,7
